Step,Value
1436,0.0
1437,0.0
1438,0.0
1439,0.0
1440,0.0
1441,0.0
1442,1.0
1443,1.0
1444,2.0
1445,0.0
1446,0.0
1447,0.0
1448,2.0
1449,1.0
1450,0.0
1451,0.0
1452,0.0
1453,0.0
1454,1.0
1455,0.0
1456,4.0
1457,1.0
1458,0.0
1459,0.0
1460,0.0
1461,0.0
1462,1.0
1463,0.0
1464,0.0
1465,0.0
1466,0.0
1467,0.0
1468,1.0
1469,0.0
1470,1.0
1471,0.0
1472,1.0
1473,0.0
1474,3.0
1475,0.0
1476,0.0
1477,1.0
1478,3.0
1479,2.0
1480,1.0
1481,0.0
1482,0.0
1483,0.0
1484,0.0
1485,1.0
1486,0.0
1487,2.0
1488,2.0
1489,0.0
1490,0.0
1491,0.0
1492,2.0
1493,3.0
1494,2.0
1495,0.0
1496,0.0
1497,1.0
1498,1.0
1499,2.0
1500,0.0
1501,2.0
1502,1.0
1503,1.0
1504,1.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,1.0
1520,0.0
1521,1.0
1522,1.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,1.0
1528,2.0
1529,1.0
1530,2.0
1531,3.0
1532,2.0
1533,0.0
1534,0.0
1535,3.0
1536,3.0
1537,0.0
1538,2.0
1539,0.0
1540,0.0
1541,1.0
1542,0.0
1543,0.0
1544,1.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,1.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,1.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,1.0
1567,0.0
1568,1.0
1569,0.0
1570,0.0
1571,0.0
1572,1.0
1573,0.0
1574,0.0
1575,1.0
1576,0.0
1577,3.0
1578,0.0
1579,0.0
1580,1.0
1581,2.0
1582,1.0
1583,3.0
1584,0.0
1585,0.0
1586,0.0
1587,1.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,1.0
1597,1.0
1598,4.0
1599,1.0
1600,2.0
1601,1.0
1602,1.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,1.0
1608,1.0
1609,3.0
1610,1.0
1611,1.0
1612,1.0
1613,1.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,1.0
1619,2.0
1620,1.0
1621,0.0
1622,2.0
1623,2.0
1624,2.0
1625,3.0
1626,2.0
1627,1.0
1628,1.0
1629,1.0
1630,2.0
1631,1.0
1632,2.0
1633,4.0
1634,1.0
1635,0.0
1636,0.0
1637,0.0
1638,1.0
1639,0.0
1640,0.0
1641,0.0
1642,1.0
1643,0.0
1644,0.0
1645,1.0
1646,2.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,1.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,1.0
1659,0.0
1660,0.0
1661,0.0
1662,1.0
1663,0.0
1664,0.0
1665,0.0
