Step,Value
1612,0.0
1613,1.0
1614,0.0
1615,1.0
1616,1.0
1617,0.0
1618,3.0
1619,2.0
1620,2.0
1621,3.0
1622,2.0
1623,3.0
1624,1.0
1625,2.0
1626,0.0
1627,0.0
1628,1.0
1629,0.0
1630,1.0
1631,0.0
1632,1.0
1633,2.0
1634,1.0
1635,2.0
1636,0.0
1637,0.0
1638,1.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,1.0
1644,1.0
1645,1.0
1646,3.0
1647,0.0
1648,1.0
1649,1.0
1650,1.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,1.0
1656,0.0
1657,1.0
1658,0.0
1659,1.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,1.0
1666,0.0
1667,1.0
1668,1.0
1669,1.0
1670,2.0
1671,1.0
1672,1.0
1673,1.0
1674,0.0
1675,0.0
1676,1.0
1677,0.0
1678,0.0
1679,1.0
1680,3.0
1681,1.0
1682,1.0
1683,1.0
1684,1.0
1685,1.0
1686,1.0
1687,0.0
1688,1.0
1689,2.0
1690,0.0
1691,2.0
1692,0.0
1693,1.0
1694,0.0
1695,1.0
1696,0.0
1697,1.0
1698,0.0
1699,1.0
1700,2.0
1701,1.0
1702,0.0
1703,5.0
1704,0.0
1705,1.0
1706,0.0
1707,1.0
1708,1.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,3.0
1714,1.0
1715,2.0
1716,2.0
1717,1.0
1718,2.0
1719,0.0
1720,2.0
1721,1.0
1722,1.0
1723,1.0
1724,2.0
1725,1.0
1726,0.0
1727,0.0
1728,1.0
1729,0.0
1730,1.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,1.0
1736,0.0
1737,1.0
1738,2.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,1.0
1746,0.0
1747,0.0
1748,0.0
1749,3.0
1750,2.0
1751,1.0
1752,1.0
1753,4.0
1754,2.0
1755,2.0
1756,2.0
1757,0.0
1758,1.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,1.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,1.0
1771,2.0
1772,0.0
1773,0.0
1774,1.0
1775,3.0
1776,0.0
1777,1.0
1778,0.0
1779,3.0
1780,1.0
1781,0.0
1782,0.0
1783,1.0
1784,0.0
1785,3.0
1786,1.0
1787,0.0
1788,2.0
1789,0.0
1790,0.0
1791,1.0
1792,0.0
1793,1.0
1794,0.0
1795,0.0
1796,1.0
1797,0.0
1798,1.0
