================================================================================
PPO_LSTM TRAINING RESULTS - 40000 EPOCHS
================================================================================
Generated: 2026-01-20 17:32:38
Model Type: ppo_lstm
Epochs: 40000
Number of Agents: 1
================================================================================

Epoch-by-Epoch Results:
--------------------------------------------------------------------------------
Epoch    Total Loss      Reward      
529      82.552420       57.00       
530      25.560574       4.00        
531      21.308773       9.00        
532      36.335902       -11.00      
533      30.822708       3.00        
534      26.120265       -6.00       
535      36.925081       39.00       
536      21.501763       25.00       
537      11.103308       19.00       
538      35.635749       36.00       
539      8.170761        19.00       
540      75.792259       57.00       
541      55.750929       30.00       
542      31.283015       23.00       
543      8.959594        7.00        
544      34.245754       0.00        
545      59.407726       40.00       
546      11.431362       8.00        
547      11.659542       16.00       
548      11.809081       11.00       
549      26.437538       31.00       
550      25.855268       20.00       
551      19.662522       21.00       
552      23.266652       -2.00       
553      43.180487       -13.00      
554      21.069700       17.00       
555      30.365422       37.00       
556      103.328705      61.00       
557      14.063668       4.00        
558      25.314219       34.00       
559      10.417534       26.00       
560      23.351644       7.00        
561      33.955813       35.00       
562      32.833997       -15.00      
563      14.802150       16.00       
564      11.126194       14.00       
565      76.803133       50.00       
566      21.095106       -6.00       
567      11.762059       14.00       
568      48.666364       27.00       
569      11.495424       14.00       
570      20.930471       -1.00       
571      49.863781       33.00       
572      9.551336        10.00       
573      288.853813      92.00       
574      18.266978       17.00       
575      26.673754       -10.00      
576      42.964534       40.00       
577      20.433915       25.00       
578      23.242390       18.00       
579      36.979686       33.00       
580      111.924683      55.00       
581      20.353347       35.00       
582      18.234067       36.00       
583      47.691120       49.00       
584      32.186474       21.00       
585      23.534882       29.00       
586      15.396108       14.00       
587      25.555695       14.00       
588      51.975837       41.00       
589      47.666867       45.00       
590      10.404976       19.00       
591      26.035855       37.00       
592      10.428845       13.00       
593      75.578056       47.00       
594      44.810415       38.00       
595      47.198094       44.00       
596      15.146030       27.00       
597      26.400277       8.00        
598      74.535204       60.00       
599      29.910992       32.00       
600      25.448513       31.00       
601      22.605444       16.00       
602      42.805255       44.00       
603      15.944769       17.00       
604      47.210445       36.00       
605      8.232356        31.00       
606      74.888304       68.00       
607      58.086092       44.00       
608      33.630600       -7.00       
609      39.250672       11.00       
610      18.855931       7.00        
611      35.461203       24.00       
612      40.492539       39.00       
613      58.100801       37.00       
614      15.245359       18.00       
615      16.276381       30.00       
616      51.585388       49.00       
617      30.497831       29.00       
618      35.578904       10.00       
619      26.164459       18.00       
620      28.887131       27.00       
621      34.459082       29.00       
622      30.144041       15.00       
623      11.167191       17.00       
624      8.508424        29.00       
625      28.456707       39.00       
626      12.485993       20.00       
627      24.525719       10.00       
628      8.154833        14.00       
629      30.627852       43.00       
630      15.895211       2.00        
631      27.989850       -2.00       
632      26.729764       -7.00       
633      9.006135        12.00       
634      45.935895       30.00       
635      35.680286       47.00       
636      30.374954       16.00       
637      16.344136       27.00       
638      22.513844       0.00        
639      35.315840       40.00       
640      18.902291       -2.00       
641      13.695033       7.00        
642      45.138139       45.00       
643      14.562644       27.00       
644      73.365171       60.00       
645      5.151059        9.00        
