================================================================================
CPC TRAINING RESULTS - 500 EPOCHS, CPC START AT EPOCH 10
================================================================================
Generated: 2026-01-20 14:52:23
Epochs: 500
CPC Start Epoch: 10
CPC Memory Bank Size: 4
Number of Agents: 1
================================================================================

Epoch-by-Epoch Results:
--------------------------------------------------------------------------------
Epoch    Total Loss      CPC Loss        Reward       Mem Bank  
476      137.745857      9.056053        1857.00      4/4       
477      23.246128       10.342725       922.00       4/4       
478      251.316021      9.061542        2954.00      4/4       
479      108.453255      9.140760        1693.00      4/4       
480      60.560334       8.999369        1030.00      4/4       
481      128.444159      9.470540        1801.00      4/4       
482      257.843979      8.935152        2446.00      4/4       
483      163.976681      10.197515       2242.00      4/4       
484      113.462860      10.889927       1820.00      4/4       
485      89.103727       10.971127       1910.00      4/4       
486      190.877857      12.139419       2196.00      4/4       
487      93.659210       13.301270       2052.00      4/4       
488      146.796295      13.184041       2729.00      4/4       
489      188.004761      13.074879       2747.00      4/4       
490      80.857830       12.255033       1439.00      4/4       
491      191.756130      10.947626       2613.00      4/4       
492      153.957111      10.003846       1263.00      4/4       
493      122.473957      10.882932       2064.00      4/4       
494      183.562248      10.049116       2415.00      4/4       
495      95.503557       9.423844        1987.00      4/4       
496      206.149788      10.706360       3183.00      4/4       
497      75.558771       9.895387        1737.00      4/4       
498      109.814112      10.223808       2034.00      4/4       
499      61.521409       13.774720       715.00       4/4       

================================================================================
STATISTICS
================================================================================

Total Loss Statistics:
  Mean: 170.036860
  Std:  119.260280
  Min:  15.459148
  Max:  952.794708

CPC Loss Statistics (epochs 10 to 499):
  Mean: 15.105925
  Std:  6.170055
  Min:  0.000000
  Max:  48.427223
  First (epoch 10): 0.000000
  Last (epoch 499): 13.774720

Reward Statistics:
  Mean: 1346.32
  Std:  1293.17
  Min:  -1615.00
  Max:  5440.00
