================================================================================
CPC TRAINING RESULTS - 2000 EPOCHS
================================================================================
Generated: 2026-01-20 15:52:04
Model Type: ppo_lstm_cpc
Epochs: 2000
CPC Start Epoch: 10
CPC Memory Bank Size: 5
Number of Agents: 1
================================================================================

Epoch-by-Epoch Results:
--------------------------------------------------------------------------------
Epoch    Total Loss      CPC Loss        Reward       Mem Bank  
451      64.012656       11.848459       60.00        5/5       
452      108.929871      11.978361       87.00        5/5       
453      479.362053      11.938722       166.00       5/5       
454      93.690861       16.494835       80.00        5/5       
455      271.164841      18.654913       116.00       5/5       
456      45.031747       19.919727       53.00        5/5       
457      185.746929      20.235756       87.00        5/5       
458      188.693275      20.043283       68.00        5/5       
459      118.780157      19.557758       79.00        5/5       
460      178.564800      15.114544       77.00        5/5       
461      216.899048      14.311789       80.00        5/5       
462      236.569050      13.923304       105.00       5/5       
463      115.885406      13.823553       87.00        5/5       
464      368.633873      14.483885       126.00       5/5       
465      240.980057      15.018695       105.00       5/5       
466      302.732605      12.595166       131.00       5/5       
467      197.140308      12.627483       57.00        5/5       
468      93.062977       12.271129       46.00        5/5       
469      147.640717      12.626071       69.00        5/5       
470      179.813740      13.703382       108.00       5/5       
471      226.989101      15.960430       17.00        5/5       
472      230.432640      17.756224       122.00       5/5       
473      128.273523      16.948561       66.00        5/5       
474      161.585041      16.057364       77.00        5/5       
475      77.407690       15.189793       26.00        5/5       
476      56.364180       15.208077       51.00        5/5       
477      152.014141      12.809461       78.00        5/5       
478      196.496387      10.953204       21.00        5/5       
479      241.033840      22.978512       85.00        5/5       
480      158.729969      22.896215       100.00       5/5       
481      167.851952      23.924395       33.00        5/5       
482      160.503643      22.831995       73.00        5/5       
483      203.660225      21.301226       41.00        5/5       
484      155.823681      19.642706       13.00        5/5       
485      178.448643      20.194283       19.00        5/5       
486      123.514084      19.853502       11.00        5/5       
487      194.383358      19.994352       10.00        5/5       
488      103.527485      18.843655       7.00         5/5       
489      119.890265      17.723106       35.00        5/5       
490      218.123600      19.908216       47.00        5/5       
491      236.055607      19.601442       75.00        5/5       
492      193.638226      19.221245       -18.00       5/5       
493      298.506241      16.546667       94.00        5/5       
494      151.872311      13.535877       26.00        5/5       
495      168.018116      14.347817       39.00        5/5       
496      152.190529      12.044444       19.00        5/5       
497      56.587337       12.293878       57.00        5/5       
498      88.373964       11.922023       45.00        5/5       
499      139.751438      12.966778       98.00        5/5       
500      59.494433       13.819911       35.00        5/5       
501      143.142494      13.928230       21.00        5/5       
502      105.054243      15.683342       66.00        5/5       
503      178.657841      15.357416       26.00        5/5       
504      70.550709       15.414339       73.00        5/5       
505      250.152405      14.854992       95.00        5/5       
506      119.186522      13.954388       43.00        5/5       
507      215.553158      16.560287       40.00        5/5       
508      105.525032      17.289495       22.00        5/5       
509      58.397228       18.485620       19.00        5/5       
510      207.493565      20.808516       95.00        5/5       
511      260.158352      22.303024       128.00       5/5       
512      109.740736      20.678122       24.00        5/5       
513      224.034904      20.459356       57.00        5/5       
514      126.995129      19.369814       53.00        5/5       
515      135.791710      17.450123       110.00       5/5       
516      76.420519       14.794685       70.00        5/5       
517      118.439451      12.321806       31.00        5/5       
518      123.138073      10.273830       11.00        5/5       
519      132.019615      8.826749        16.00        5/5       
520      154.535393      8.698210        97.00        5/5       
521      288.332443      10.337746       121.00       5/5       
522      100.261236      12.612179       78.00        5/5       
523      171.459778      14.034139       45.00        5/5       
524      84.750122       14.290653       8.00         5/5       
525      200.665466      13.916152       23.00        5/5       
526      49.162032       13.679084       51.00        5/5       
527      32.136742       12.415867       50.00        5/5       
528      244.442673      10.316443       120.00       5/5       
529      92.633368       8.761050        50.00        5/5       
530      844.290390      8.937164        200.00       5/5       
531      29.081834       10.071889       63.00        5/5       
532      129.435392      10.342148       67.00        5/5       
533      106.754673      11.138435       7.00         5/5       
534      108.492712      12.084697       14.00        5/5       
535      534.170547      12.318900       130.00       5/5       
536      218.393589      12.745909       63.00        5/5       
537      397.589531      11.177073       123.00       5/5       
538      61.716476       10.334985       75.00        5/5       
539      79.520178       10.358302       58.00        5/5       
540      170.052299      9.684168        94.00        5/5       
541      313.264664      9.434473        118.00       5/5       
542      79.712063       9.495093        39.00        5/5       
543      162.272770      10.675017       90.00        5/5       
544      87.521450       11.666390       87.00        5/5       
545      245.395676      14.598858       108.00       5/5       
546      234.494976      14.281976       99.00        5/5       
547      324.582375      14.971914       110.00       5/5       
548      77.946615       15.226223       26.00        5/5       
549      164.773895      16.515850       106.00       5/5       
550      234.175777      16.784904       125.00       5/5       
551      177.693737      16.998409       108.00       5/5       
552      149.660732      17.180138       5.00         5/5       
553      110.403454      18.547544       68.00        5/5       
554      124.233278      20.388477       97.00        5/5       
555      132.837040      18.557076       59.00        5/5       
556      196.332062      19.140163       104.00       5/5       
557      104.251478      19.864542       50.00        5/5       
558      267.742210      20.347521       110.00       5/5       
559      241.244389      17.853283       77.00        5/5       
560      240.887085      16.606091       81.00        5/5       
561      73.921041       17.786921       59.00        5/5       
562      200.113922      17.657385       98.00        5/5       
563      145.365768      17.324118       29.00        5/5       
564      143.217079      15.965762       70.00        5/5       
565      180.949688      15.406347       28.00        5/5       
566      239.194088      15.120870       4.00         5/5       
567      125.106045      13.500091       -1.00        5/5       
568      109.654818      12.983861       26.00        5/5       
569      38.593320       10.767441       44.00        5/5       
570      186.861378      10.848365       22.00        5/5       
571      190.121437      11.332680       2.00         5/5       
572      218.805428      11.128873       -14.00       5/5       
573      56.097745       12.293796       32.00        5/5       
574      68.251194       11.612195       26.00        5/5       
575      114.148058      11.740271       58.00        5/5       
576      89.921154       12.201987       18.00        5/5       
577      167.606655      11.305676       32.00        5/5       
578      82.516535       12.998747       18.00        5/5       
579      101.307074      13.832502       33.00        5/5       
580      214.350056      16.406654       -19.00       5/5       
581      112.791668      19.503424       23.00        5/5       
582      311.914284      22.796349       89.00        5/5       
583      67.271029       23.260725       59.00        5/5       
584      84.663292       23.466978       49.00        5/5       
585      102.219429      16.201981       52.00        5/5       
586      83.608805       16.818167       60.00        5/5       
587      182.340527      17.798309       25.00        5/5       
588      90.761736       20.106728       65.00        5/5       
589      128.958233      24.966412       20.00        5/5       
590      133.186625      24.685379       47.00        5/5       
591      44.298417       27.305548       28.00        5/5       
592      108.942932      25.958401       68.00        5/5       
593      162.484474      23.230556       69.00        5/5       
594      100.545538      18.804996       47.00        5/5       
595      109.118824      15.167420       49.00        5/5       
596      144.882950      14.464674       -8.00        5/5       
597      74.752609       14.447116       11.00        5/5       
598      327.234375      13.882015       135.00       5/5       
599      164.043465      12.890943       39.00        5/5       
600      156.966011      11.575347       78.00        5/5       
601      409.798790      11.647427       146.00       5/5       
602      403.291229      10.586089       156.00       5/5       
603      287.172836      10.104486       124.00       5/5       
604      67.984509       8.794100        56.00        5/5       
605      46.574906       8.700758        59.00        5/5       
606      20.015817       9.320086        43.00        5/5       
607      133.023628      9.446805        27.00        5/5       
608      206.370834      9.318863        -30.00       5/5       
609      178.650799      11.425715       -6.00        5/5       
610      52.652704       13.216377       19.00        5/5       
611      204.549221      13.510922       -24.00       5/5       
612      156.797123      21.368929       -16.00       5/5       
613      190.943489      22.804232       -32.00       5/5       
614      102.537630      23.209852       27.00        5/5       
615      215.140305      19.964474       -35.00       5/5       
616      123.827278      19.868753       -6.00        5/5       
617      262.154217      18.838354       -46.00       5/5       
